Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,ProlificID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Sum_SIAS,COMP_1,secondchance_comp1,Incorrect_1,COMP_2,secondchance_comp2,Incorrect_2,Incorrect_any,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,SOCIAL_5,SOCIAL_6,SOCIAL_7,SOCIAL_8,SOCIAL_9,SOCIAL_10,SOCIAL_11,Sum_risk,Threshold_social,Intransitive,Age,Gender,Country_home,City_home,PROLIFIC_PID
04/06/2020 13:01,04/06/2020 13:06,IP Address,100,328,TRUE,04/06/2020 13:06,R_ZHPOYNhwIbeuMcV,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c49fc5a339eb40001921e21,1,0,2,1,2,1,3,3,3,0,0,3,0,2,2,3,2,1,2,2,33,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,23,Male,Yes,No,5c49fc5a339eb40001921e21
04/06/2020 13:05,04/06/2020 13:08,IP Address,100,220,TRUE,04/06/2020 13:08,R_3smQquErKF41JBe,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5cbf7efc33c9c70017d49c79,4,3,3,2,2,3,2,2,2,2,4,3,4,1,3,4,4,4,4,4,60,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,0,26,Female,Yes,No,5cbf7efc33c9c70017d49c79
04/06/2020 13:03,04/06/2020 13:08,IP Address,100,337,TRUE,04/06/2020 13:08,R_1mIVRKAqdDaz61L,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ddeaaf9f30aa6e2e945abba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,0,24,Male,No,No,5ddeaaf9f30aa6e2e945abba
04/06/2020 13:04,04/06/2020 13:08,IP Address,100,237,TRUE,04/06/2020 13:08,R_1Km7ugBa9eSIRYS,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c2f9da66ea6880001dc865f,2,1,3,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,38,£1.00,£1.00,1,£0.75,£0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,0,29,Female,No,No,5c2f9da66ea6880001dc865f
04/06/2020 13:02,04/06/2020 13:09,IP Address,100,393,TRUE,04/06/2020 13:09,R_0JtmayWrTHUGpoJ,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ed6e7e219fa7f15e7a5937a,2,3,2,4,4,4,4,4,4,3,0,2,0,4,2,4,0,0,4,2,52,£1.00,£0.50,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,32,Male,Yes,No,5ed6e7e219fa7f15e7a5937a
04/06/2020 13:05,04/06/2020 13:09,IP Address,100,207,TRUE,04/06/2020 13:09,R_2tgtBEoe19plCmm,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5da99cf2c2a70a0015a12c23,3,3,3,2,2,1,2,3,3,2,2,3,3,3,3,4,4,3,3,3,55,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,27,Male,Yes,Yes,5da99cf2c2a70a0015a12c23
04/06/2020 13:02,04/06/2020 13:09,IP Address,100,377,TRUE,04/06/2020 13:09,R_2Cg2SzbAzOZYzit,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ecb9a6d300ac3000a52cd01 ,2,1,2,0,1,1,1,1,1,0,1,4,0,1,0,1,1,0,2,4,24,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,32,Female,Yes,Yes,5ecb9a6d300ac3000a52cd01
04/06/2020 13:01,04/06/2020 13:09,IP Address,100,466,TRUE,04/06/2020 13:09,R_1IoA8zu470t3oRq,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c0bc3fc11d18f000198dc22,1,0,2,0,2,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,13,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,0,21,Female,Yes,Yes,5c0bc3fc11d18f000198dc22
04/06/2020 13:01,04/06/2020 13:09,IP Address,100,471,TRUE,04/06/2020 13:09,R_1Q6EOpbtce76IIt,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ed8196471c07b1580b38951,3,3,4,2,2,3,1,4,2,1,4,0,0,0,1,3,1,0,1,4,39,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,0,1,1,1,1,1,1,1,1,9,2,0,20,Female,Yes,Yes,5ed8196471c07b1580b38951
04/06/2020 13:05,04/06/2020 13:09,IP Address,100,228,TRUE,04/06/2020 13:09,R_3FROtVKB2AMUXSV,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ed7ce7eb2a4d62878348a6c,4,2,3,3,4,1,3,0,4,2,1,2,1,1,2,4,2,3,4,2,48,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,23,Female,Yes,Yes,5ed7ce7eb2a4d62878348a6c
