Start Date,End Data,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,ProlificID,COMP_111,COMP_112,Incorrect_11,COMP_121,COM_122,Incorrect_12,ASOCIAL_1,ASOCIAL_2,ASOCIAL_3,ASOCIAL_4,ASOCIAL_5,ASOCIAL_6,ASOCIAL_7,ASOCIAL_8,ASOCIAL_9,ASOCIAL_10,ASOCIAL_11,Sum_risk,Threshold,Zero Count,Intransitive,COMP_211,COMP_212,Incorrect_21,COMP_221,COMP_222,Incorrect_22,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,SOCIAL_5,SOCIAL_6,SOCIAL_7,SOCIAL_8,SOCIAL_9,SOCIAL_10,SOCIAL_11,Sum_risk,Threshold,Zero Count,Intransitive,Real,Similar,resp,Age,Gender,Country_home,City_home
43991.56558,43991.57166,IP Address,100,524,TRUE,43991.57166,R_1Lnd6pOygKQ7h6X,anonymous,EN,Yes,Yes,Yes,Yes,Yes,56a62dbf168892000c6ffdf1,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,1,0,1,2,9,10,1,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,2,0,2,4,56a62dbf168892000c6ffdf1,45,Female,Yes,Yes
43990.54653,43990.54957,IP Address,100,262,TRUE,43990.54958,R_Z9PwfmgaAhERS7L,anonymous,EN,Yes,Yes,Yes,Yes,Yes,56d8985d4a9be1000a53e9f2,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,1,1,1,3,9,9,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,3,0,5,3,56d8985d4a9be1000a53e9f2,33,Male,Yes,No
43991.46979,43991.47311,IP Address,100,287,TRUE,43991.47313,R_1ojWG2Uw90QIbM5,anonymous,EN,Yes,Yes,Yes,Yes,Yes,56f4182edc03a8000b98adc7,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,2,0,4,4,56f4182edc03a8000b98adc7,31,Female,Yes,Yes
43990.95492,43990.95738,IP Address,100,213,TRUE,43990.95739,R_21amtAQjXz5314D,anonymous,EN,Yes,Yes,Yes,Yes,Yes,56ffd10b18705800099d0416,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,2,56ffd10b18705800099d0416,27,Non-binary,Yes,Yes
43990.79778,43990.80134,IP Address,100,308,TRUE,43990.80135,R_1mLh9VX72g0plGg,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5730f0a7dd6617000ed945c9,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,1,0,2,2,5730f0a7dd6617000ed945c9,25,Female,Yes,Yes
43990.6759,43990.67906,IP Address,100,273,TRUE,43990.67908,R_Qc5NALRLt87FzkB,anonymous,EN,Yes,Yes,Yes,Yes,Yes,57509aade19ee9000680df04,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,5,57509aade19ee9000680df04,43,Male,Yes,Yes
43990.8786,43990.88221,IP Address,100,311,TRUE,43990.88222,R_3qa5SBO2b0A0jdZ,anonymous,EN,Yes,Yes,Yes,Yes,Yes,575fe5312882b10006354f3b,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,1,0,0,0,0,1,1,1,1,1,6,2,6,1,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,3,575fe5312882b10006354f3b,48,Male,Yes,No
43991.70934,43991.71639,IP Address,100,608,TRUE,43991.7164,R_T17WNkQaMwIeik1,anonymous,EN,Yes,Yes,Yes,Yes,Yes,57b3a754cbe60100013773f2,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,1,1,1,3,9,9,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,3,2,57b3a754cbe60100013773f2,27,Female,Yes,Yes
43990.56494,43990.56883,IP Address,100,335,TRUE,43990.56884,R_r6mzHlLaOa7GY4F,anonymous,EN,Yes,Yes,Yes,Yes,Yes,57b5cf728f963300014c8dfb,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,1,0,5,1,57b5cf728f963300014c8dfb,44,Female,No,No
43991.82887,43991.83134,IP Address,100,213,TRUE,43991.83135,R_bOx2hv06UgKybqF,anonymous,EN,Yes,Yes,Yes,Yes,Yes,57ff8b2902781e000125f845,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,1,0,1,0,0,1,0,1,1,5,3,7,1,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,2,0,4,1,57ff8b2902781e000125f845,35,Female,Yes,Yes
43990.56002,43990.56208,IP Address,100,177,TRUE,43990.56209,R_2ZBJM14kdwnOnPa,anonymous,EN,Yes,Yes,Yes,Yes,Yes,580241d0279ffd000124e3e3,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,3,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,2,0,3,4,580241d0279ffd000124e3e3,33,Female,No,No
